Contaminated Food,Germ,Year
"<a href=""/salmonella/2009/pistachio-nuts-4-14-2009.html"">Pistachios</a>","<em>Salmonella</em> Montevideo, Newport, and Senftenberg",2009
"<a href=""/salmonella/2008/raw-produce-8-28-2008.html"">Raw Produce</a>",<em>Salmonella</em> Saintpaul,2008
"<a href=""/ecoli/2008/ground-beef-kroger-7-18-2008.html"">Beef</a>",<em>E. coli</em> O157:H7,2008
"<a href=""/salmonella/2008/rice-wheat-puff-cereal-5-13-2008.html"">Cereals</a>",<em>Salmonella</em> Agona,2008
"<a href=""/salmonella/2008/cantaloupes-4-2-2008.html"">Cantaloupes</a>",<em>Salmonella</em> Litchfield,2008
"<a href=""/ecoli/2007/jeno-pizza-11-1-2007.html"">Frozen Pizza</a>",<em>E. coli</em> O157:H7,2007
"<a href=""/salmonella/2007/pot-pie-10-29-2007.html"">Frozen Pot Pies</a>","<em>Salmonella</em> I 4,[5],12:i:-",2007
"<a href=""/ecoli/2007/ground-beef-patties-10-26-2007.html"">Ground Beef Patties</a>",<em>E. coli</em> O157:H7,2007
"<a href=""/salmonella/2007/veggie-booty-7-18-2007.html"">Vegetable Flavored Rice and Corn Snack</a>",<em>Salmonella</em> Wandsworth,2007
"<a href=""/salmonella/2007/peanut-butter-3-7-2007.html"">Peanut Butter</a>",<em>Salmonella</em> Tennessee,2007
"<a href=""/ecoli/2006/taco-bell-12-2006.html"">Mexican Stye Restaurant Chain</a>",<em>E. coli</em> O157:H7,2006
"<a href=""/salmonella/2006/tomatoes-11-2006.html"">Tomatoes</a>",<em>Salmonella</em> Typhimurium,2006
"<a href=""/ecoli/2006/spinach-10-2006.html"">Fresh Spinach</a>",<em>E. coli</em> O157:H7,2006
